task,fleet_size,locations,infrastructure,policy,order,seed,policy_seed,day,started_utc,process_seconds,requests,steps,reset_seconds,wall_seconds,agent_seconds,environment_seconds,overhead_seconds,ms_per_decision_epoch,agent_ms_per_epoch,environment_ms_per_epoch,reward
1,100,5,S05_1_20,random,0,100000,200000,5,2026-09-09T15:15:18.527114+00:00,1.8230009369999998,2000,3535,0.014679688960313797,1.8364032569807023,0.5200358059955761,1.31363494717516,0.002732503809966147,0.5194917275758705,0.14711055332265235,0.371608188734133,23961.710642097954
1,100,5,S05_1_20,ppo_sampled,1,100000,200000,5,2026-09-09T15:15:20.378949+00:00,1.9713902119999993,2000,3571,0.01436097000259906,1.985975245013833,0.6806962862610817,1.3025400070473552,0.0027389517053961754,0.5561398053805189,0.19061783429321807,0.36475497256996786,26226.60108639901
1,100,5,S05_1_20,nearest,2,100000,200000,5,2026-09-09T15:15:22.379293+00:00,1.131618715,2000,2096,0.01383189798798412,1.1397312439512461,0.40639267407823354,0.7317286988254637,0.0016098710475489497,0.5437649064652892,0.19388963457930988,0.3491072036381029,22314.425773328625
1,100,5,S05_1_20,ppo_sampled,0,100001,200001,17,2026-09-09T15:15:23.619884+00:00,1.9833435640000001,2000,3556,0.10033017303794622,1.9980181569699198,0.6831863257102668,1.3121045049047098,0.002727326354943216,0.5618723726012148,0.19212213883865772,0.36898326909581264,25604.809374701566
1,100,5,S05_1_20,nearest,1,100001,200001,17,2026-09-09T15:15:25.633194+00:00,1.1343973369999993,2000,2096,0.014801757060922682,1.1418902239529416,0.4074161594035104,0.7329073054715991,0.0015667590778321028,0.5447949541760218,0.19437793864671296,0.34966951596927437,20856.86948233018
1,100,5,S05_1_20,random,2,100001,200001,17,2026-09-09T15:15:26.790307+00:00,1.8155553970000007,2000,3524,0.014688563998788595,1.828681400977075,0.5138193544698879,1.312100155511871,0.0027618909953162074,0.5189220774622801,0.14580571920257887,0.3723326207468419,23723.52875407983
1,100,5,S05_1_20,nearest,0,100002,200002,31,2026-09-09T15:15:28.704270+00:00,1.1185834230000005,2000,2096,0.08479765499942005,1.1264564819866791,0.405092517263256,0.7197888005757704,0.0015751641476526856,0.5374315276654004,0.19326933075537023,0.3434106872976004,20087.01358020497
1,100,5,S05_1_20,random,1,100002,200002,31,2026-09-09T15:15:29.845585+00:00,1.8231557029999976,2000,3524,0.014315475011244416,1.8366191319655627,0.51954826049041,1.3143238496268168,0.002747021848335862,0.521174555041306,0.14743140195528093,0.3729636349678822,24124.712250717766
1,100,5,S05_1_20,ppo_sampled,2,100002,200002,31,2026-09-09T15:15:31.696936+00:00,1.9413976139999995,2000,3519,0.014266391983255744,1.9529550309525803,0.6631469081621617,1.287105494295247,0.002702628495171666,0.5549744333482751,0.18844754423477172,0.36575887874261065,26419.010853183343
1,100,5,S05_1_20,random,0,100003,200003,30,2026-09-09T15:15:33.740942+00:00,1.8194800300000011,2000,3516,0.09051209490280598,1.8300212550675496,0.5175734682707116,1.309712880058214,0.0027349067386239767,0.5204838609407137,0.14720519575389976,0.37250081912918487,24573.051201873008
