task,fleet_size,locations,policy,episodes,wall_seconds_median,wall_seconds_q1,wall_seconds_q3,agent_seconds_median,agent_seconds_q1,agent_seconds_q3,environment_seconds_median,environment_seconds_q1,environment_seconds_q3,overhead_seconds_median,overhead_seconds_q1,overhead_seconds_q3,steps_median,steps_q1,steps_q3,ms_per_decision_epoch_median,ms_per_decision_epoch_q1,ms_per_decision_epoch_q3,agent_ms_per_epoch_median,agent_ms_per_epoch_q1,agent_ms_per_epoch_q3,environment_ms_per_epoch_median,environment_ms_per_epoch_q1,environment_ms_per_epoch_q3
1,100,5,nearest,5,1.139069322030991,1.1264564819866791,1.139731243951246,0.4063926740782335,0.405092517263256,0.4074161594035104,0.7268662470160052,0.7197888005757704,0.7317286988254637,0.0015751641476526,0.0015667590778321,0.0015898928977549,2096.0,2096.0,2096.0,0.5434491040224195,0.5374315276654004,0.5437649064652892,0.1938896345793098,0.1932693307553702,0.1943779386467129,0.3467873315916055,0.3434106872976004,0.3491072036381029
1,100,5,ppo_sampled,5,1.9661623870488256,1.9529550309525805,1.985975245013833,0.6685214159078896,0.6631469081621617,0.6806962862610817,1.2948466556845233,1.287105494295247,1.3025400070473552,0.0027273263549432,0.0027026284951716,0.0027389517053961,3556.0,3519.0,3564.0,0.5549744333482751,0.5538839846319227,0.5561398053805189,0.1884475442347717,0.1883786108048933,0.190617834293218,0.3647549725699678,0.3647482733263687,0.3657588787426106
1,100,5,random,5,1.8300212550675496,1.828681400977075,1.8364032569807025,0.5175734682707116,0.5138193544698879,0.51954826049041,1.312100155511871,1.309712880058214,1.31363494717516,0.0027470218483358,0.0027349067386239,0.0027549108490347,3524.0,3516.0,3524.0,0.5194917275758705,0.5193356626503454,0.5204838609407137,0.1471105533226523,0.146696440113175,0.1472051957538997,0.3723326207468419,0.3718496235549304,0.3725008191291848
2,100,10,nearest,5,1.2093044290086254,1.2084168510045856,1.2150866930605844,0.4246681368676945,0.4239930413896218,0.4247639286331832,0.7821211363188922,0.7814102526754141,0.7888916837982833,0.0015268723946064,0.0015200726920738,0.0015317860525101,2096.0,2096.0,2096.0,0.5769582199468632,0.5765347571586763,0.5797169337121109,0.2026088439254268,0.2022867563881783,0.2026545461036179,0.3731493970987081,0.372810235055064,0.3763796201327687
2,100,10,ppo_sampled,5,2.263670644024387,2.258866262971424,2.275050822063349,0.7335824181791395,0.7322465080069378,0.7351847649551928,1.52730375144165,1.523903814260848,1.536670465953648,0.0027159407036378,0.0027110835071653,0.0027336820494383,3568.0,3567.0,3584.0,0.6371513941318905,0.6314283525869978,0.6376263514751539,0.2059787618858944,0.2046255001894392,0.206107307248442,0.4304124282357979,0.426026151029749,0.4306811844040493
2,100,10,random,5,2.053800550987944,2.0524405589094386,2.0663983339909464,0.539650866878219,0.5371310942573473,0.540445321588777,1.5126804769970477,1.5113798738457265,1.5227914449060336,0.0027153735281899,0.002712417859584,0.0027698102639988,3547.0,3532.0,3549.0,0.5814837347077985,0.5811632034760109,0.5822480512795003,0.1527890336574799,0.152281014817914,0.1529746883243757,0.4279104965588126,0.4273902455531949,0.4292019269861875
3,100,20,nearest,5,1.268597052898258,1.266634489991702,1.2977296620374543,0.4273788381833583,0.4255691636353731,0.4322282855864614,0.8414839691249654,0.8377174306660891,0.8639170376118273,0.0015607584500685,0.0015439201379194,0.0015843388391658,2096.0,2096.0,2096.0,0.605246685543062,0.6043103482784838,0.6191458311247398,0.2039021174538923,0.2030387231084795,0.2062157851080445,0.401471359315346,0.3996743466918364,0.4121741591659481
3,100,20,ppo_sampled,5,2.562506488058716,2.5553750310791656,2.60694799607154,0.832656193873845,0.829236562596634,0.836847220081836,1.7304353077197447,1.7198391656856984,1.766506682499312,0.0028916341252624,0.0028796715196222,0.0029314766870811,3761.0,3739.0,3785.0,0.6856494533319061,0.6834380933616383,0.6871832899057967,0.2210956988327175,0.2206197137297002,0.222375050307491,0.4640480846660619,0.4599730317426312,0.4642593120891752
3,100,20,random,5,2.274883197969757,2.268112596939318,2.2764970149146397,0.5693406908540055,0.5681373280240223,0.5698575708083808,1.7027597236447036,1.6971315126866102,1.7038458089809865,0.0027936351252719,0.0027827834710478,0.0028437562286853,3652.0,3638.0,3659.0,0.625311489271511,0.6221637100067339,0.6253412177941323,0.1564982657652571,0.1557413421176225,0.1566411160805134,0.4673023024208738,0.4656588709978099,0.4679160498170968
4,100,40,nearest,5,1.2997111990116537,1.2945189389865843,1.311740264063701,0.4315101034007966,0.4307021306594834,0.4361186675960198,0.8702365828212351,0.8614445045823231,0.874062197864987,0.0015568372327834,0.001547587220557,0.0015593986026942,2096.0,2096.0,2096.0,0.6200912209025066,0.6176139976081033,0.6258302786563459,0.2058731409354945,0.2054876577573871,0.2080718833950476,0.4151892093612763,0.4109945155450015,0.4170144073783334
