task,run_name,git_hash,fleet_size,locations,training_episodes,evaluation_rows,training_loop_hours,non_evaluation_median_seconds,non_evaluation_q1_seconds,non_evaluation_q3_seconds,epoch_median_ms,epoch_q1_ms,epoch_q3_ms,first_evaluation_reward,final_evaluation_reward,best_evaluation_episode,best_evaluation_reward,final_vs_first_reward_percent,final_acceptance,invalid_actions,empty_masks,zero_capacity_charge_actions
1,periodic_ppo_nyc_500ep_fleet_100_S05_1_20_s321_1455644_1,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,100,5,500,100,0.5361111111111111,3.4,3.3,3.4,0.9491903964265773,0.9350428702045456,0.9572072072072072,24117.355790144222,26307.88141796799,500,26307.88141796799,9.082776929960733,0.8198000000000001,0,0,0
2,periodic_ppo_nyc_500ep_fleet_100_S10_2_10_s321_1455644_2,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,100,10,500,100,0.6003333333333333,3.7,3.7,3.8,1.0497943181909661,1.0390339792193204,1.0636064812333637,24780.223350047156,25870.041341151456,400,25999.274699385016,4.397934496834255,0.8208,0,0,0
3,periodic_ppo_nyc_500ep_fleet_100_S20_5_4_s321_1455644_3,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,100,20,500,100,0.8203611111111112,4.3,4.2,4.4,1.163892293614412,1.1316941885261895,1.185904060263417,26034.52313489131,27546.11429615182,500,27546.11429615182,5.8061027406900445,0.8954000000000001,0,0,0
4,periodic_ppo_nyc_500ep_fleet_100_S40_10_2_s321_1455644_4,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,100,40,500,100,0.7481944444444445,4.7,4.7,4.8,1.2838022398251843,1.2725919081022337,1.2944315357061051,26676.15354703973,27487.47602449767,450,27605.37536827602,3.0413772961206176,0.8849,0,0,0
5,periodic_ppo_nyc_500ep_fleet_500_S05_1_100_s321_1455644_5,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,500,5,500,100,2.7440555555555557,17.1,17.0,17.225,0.9949526755207989,0.9884608186421764,1.0036415583858453,141344.39093991104,143905.33640948986,500,143905.33640948986,1.8118479640748753,0.9072000000000001,0,0,0
6,periodic_ppo_nyc_500ep_fleet_500_S10_2_50_s321_1455644_6,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,500,10,500,100,2.8504444444444443,17.9,17.8,18.0,1.0276612151904247,1.02086427471282,1.0340418074799578,145634.42344504385,146125.8154678888,400,146645.41467911162,0.337414747983944,0.91988,0,0,0
7,periodic_ppo_nyc_500ep_fleet_500_S20_5_20_s321_1455644_7,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,500,20,500,100,3.268666666666667,20.3,20.2,20.5,1.1083502879269818,1.1042475263762095,1.1134561892584767,149849.24707035586,150288.3242861805,150,152183.48382551427,0.2930126272963296,0.9326799999999998,0,0,0
8,periodic_ppo_nyc_500ep_fleet_500_S40_10_10_s321_1455644_8,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,500,40,500,100,10.440055555555555,27.6,26.2,114.525,1.4852648115108869,1.4114124269791173,6.161397701196412,152987.46948899902,158819.82573662762,500,158819.82573662762,3.812309770930611,0.9625400000000001,0,0,0
9,periodic_ppo_nyc_500ep_fleet_1000_S05_1_200_s321_1455644_9,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,1000,5,500,100,6.557722222222222,41.7,41.4,42.0,1.2430694525442243,1.2344853381053151,1.253401609832594,297243.26995458454,299898.95517654315,425,301025.1775003778,0.8934383013497138,0.9263899999999999,0,0,0
10,periodic_ppo_nyc_500ep_fleet_1000_S10_2_100_s321_1455644_10,d532ad10ac84fbf3d442e4316fb9e09ddfaa71b7,1000,10,500,100,6.55875,40.6,40.4,43.0,1.192158172392628,1.185321144738864,1.261932207698376,304996.37880392524,306398.3041598946,225,306468.5937254453,0.45965311505242745,0.93998,0,0,0
